driver_id,archetype,driver_age,vehicle_value,annual_mileage,hard_braking_per_100mi,rapid_accel_per_100mi,speeding_pct,phone_distraction_min_hr,harsh_cornering_per_100mi,night_driving_pct,driving_score,risk_tier,traditional_premium,dynamic_ubi_premium,annual_savings,discount_pct,has_claim,claim_amount
DRV-1001,Night Shift Worker,25,18953.0,14708.0,1.59,1.17,4.5,3.0,1.65,52.7,83.0,Low Risk (Preferred),1002.33,891.84,110.49,11.0,0,0.0
DRV-1002,Safe Commuter,29,40764.0,11806.0,1.09,1.03,2.5,0.9,0.42,6.3,98.7,Elite Safe (Top 15%),1648.92,1185.86,463.06,28.1,0,0.0
DRV-1003,Low-Mileage Weekend Driver,49,42214.0,4044.0,2.14,1.0,2.4,1.0,1.35,6.6,93.4,Elite Safe (Top 15%),1686.81,1147.32,539.49,32.0,0,0.0
DRV-1004,Low-Mileage Weekend Driver,56,37838.0,3776.0,1.21,1.35,5.5,1.4,0.69,3.4,95.9,Elite Safe (Top 15%),1570.99,1061.04,509.95,32.5,0,0.0
DRV-1005,Aggressive Speedster,32,26009.0,15862.0,4.9,4.97,36.6,6.2,4.8,18.6,37.8,High Risk (Non-Standard),1231.26,1574.92,-343.66,-27.9,0,0.0
DRV-1006,Night Shift Worker,34,27728.0,13671.0,1.59,1.55,5.3,3.4,1.83,41.6,80.5,Low Risk (Preferred),1283.56,1138.98,144.58,11.3,0,0.0
DRV-1007,Safe Commuter,30,32977.0,13025.0,0.74,0.46,4.2,1.1,0.77,3.1,98.9,Elite Safe (Top 15%),1436.67,1060.12,376.55,26.2,0,0.0
DRV-1008,Night Shift Worker,33,24580.0,12324.0,1.59,1.67,5.3,2.7,2.08,47.0,81.1,Low Risk (Preferred),1186.86,1014.27,172.59,14.5,0,0.0
DRV-1009,Low-Mileage Weekend Driver,37,35877.0,6145.0,2.01,0.78,2.6,2.0,1.1,5.3,93.1,Elite Safe (Top 15%),1517.58,1049.26,468.32,30.9,0,0.0
DRV-1010,Safe Commuter,28,22745.0,12401.0,0.43,1.2,3.6,1.4,0.47,3.5,98.4,Elite Safe (Top 15%),1128.49,825.15,303.34,26.9,1,6177.95
DRV-1011,Distracted Urbanite,37,29217.0,13810.0,5.18,2.74,14.3,13.7,3.77,10.0,43.6,High Risk (Non-Standard),1327.96,1553.59,-225.63,-17.0,0,0.0
DRV-1012,Aggressive Speedster,27,25184.0,21348.0,6.9,5.71,24.6,6.2,6.46,28.7,30.8,High Risk (Non-Standard),1205.73,1832.47,-626.74,-52.0,0,0.0
DRV-1013,Night Shift Worker,29,34494.0,11428.0,1.98,1.08,7.8,3.0,1.15,49.3,80.1,Low Risk (Preferred),1479.29,1246.7,232.59,15.7,0,0.0
DRV-1014,Aggressive Speedster,25,29203.0,21715.0,8.22,6.64,37.9,8.3,4.88,26.4,27.0,High Risk (Non-Standard),1327.54,2082.14,-754.6,-56.8,0,0.0
DRV-1015,Low-Mileage Weekend Driver,47,24868.0,4286.0,1.27,1.31,2.9,1.2,0.57,6.8,96.9,Elite Safe (Top 15%),1195.88,795.62,400.26,33.5,0,0.0
DRV-1016,Aggressive Speedster,20,25290.0,18113.0,5.61,5.7,34.4,8.3,6.18,24.8,28.4,High Risk (Non-Standard),1994.9,2856.76,-861.86,-43.2,0,0.0
DRV-1017,Low-Mileage Weekend Driver,38,20953.0,3839.0,1.4,1.11,3.9,2.0,1.17,8.9,93.1,Elite Safe (Top 15%),1069.87,731.29,338.58,31.6,0,0.0
DRV-1018,Safe Commuter,34,31294.0,10243.0,0.51,0.8,2.5,0.6,0.4,6.6,99.0,Elite Safe (Top 15%),1388.58,959.87,428.71,30.9,0,0.0
DRV-1019,Night Shift Worker,27,32441.0,14261.0,2.06,1.02,4.5,3.0,1.28,47.2,82.1,Low Risk (Preferred),1421.45,1261.57,159.88,11.2,0,0.0
DRV-1020,Aggressive Speedster,21,47863.0,17032.0,8.44,4.93,40.0,6.7,4.94,31.3,29.9,High Risk (Non-Standard),2470.89,3416.11,-945.22,-38.3,0,0.0
DRV-1021,Distracted Urbanite,25,32304.0,10949.0,4.22,2.63,15.4,7.5,3.28,8.5,56.6,Elevated Risk (Substandard),1417.54,1408.85,8.69,0.6,0,0.0
DRV-1022,Low-Mileage Weekend Driver,35,44709.0,6863.0,0.91,0.82,4.4,1.9,0.74,3.7,97.3,Elite Safe (Top 15%),1750.96,1186.92,564.04,32.2,0,0.0
DRV-1023,Night Shift Worker,29,29874.0,13096.0,2.13,1.63,8.7,1.9,1.86,42.2,78.4,Low Risk (Preferred),1347.29,1200.1,147.19,10.9,0,0.0
DRV-1024,Safe Commuter,48,33177.0,13645.0,1.33,0.41,3.2,1.1,0.28,4.7,98.1,Elite Safe (Top 15%),1442.33,1087.77,354.56,24.6,0,0.0
DRV-1025,Safe Commuter,32,37619.0,13396.0,0.71,0.54,3.9,1.3,0.69,6.9,97.7,Elite Safe (Top 15%),1565.07,1178.5,386.57,24.7,1,7935.12
DRV-1026,Safe Commuter,34,39528.0,13695.0,0.45,0.5,1.4,1.1,0.42,5.0,99.4,Elite Safe (Top 15%),1616.25,1204.43,411.82,25.5,0,0.0
DRV-1027,Night Shift Worker,40,28007.0,13527.0,1.6,2.09,4.3,2.8,2.0,36.3,80.9,Low Risk (Preferred),1291.94,1138.61,153.33,11.9,0,0.0
DRV-1028,Aggressive Speedster,21,34368.0,19930.0,6.71,5.5,22.2,4.5,6.18,30.4,35.7,High Risk (Non-Standard),1992.3,2844.21,-851.91,-42.8,0,0.0
DRV-1029,Night Shift Worker,33,38462.0,13149.0,1.27,1.44,8.7,3.4,1.05,45.7,81.1,Low Risk (Preferred),1587.78,1384.37,203.41,12.8,0,0.0
DRV-1030,Low-Mileage Weekend Driver,67,42323.0,6594.0,1.37,1.34,2.6,2.4,1.36,8.9,92.4,Elite Safe (Top 15%),1689.64,1180.88,508.76,30.1,0,0.0
DRV-1031,Safe Commuter,49,29476.0,12912.0,0.75,1.0,3.6,0.6,0.33,5.5,99.0,Elite Safe (Top 15%),1335.6,982.06,353.54,26.5,0,0.0
DRV-1032,Low-Mileage Weekend Driver,44,27848.0,6358.0,1.44,0.97,5.2,1.2,0.52,4.2,96.2,Elite Safe (Top 15%),1287.17,874.44,412.73,32.1,0,0.0
DRV-1033,Aggressive Speedster,23,25836.0,16809.0,6.54,6.38,41.4,6.0,3.87,29.9,33.1,High Risk (Non-Standard),1655.01,2231.56,-576.55,-34.8,0,0.0
DRV-1034,Aggressive Speedster,19,35298.0,14867.0,6.24,6.55,29.2,7.6,5.18,21.5,29.3,High Risk (Non-Standard),2477.66,3255.96,-778.3,-31.4,0,0.0
