trip_id,route_name,date,distance_miles,duration_minutes,trip_safety_score,hard_brakes,speeding_pct,fuel_efficiency_mpg
TRIP-SUMM-2001,Marin County → Presidio Expressway,2026-09-01,25.8,56.0,74,2.7,8.8,32.5
TRIP-SUMM-2002,Marin County → Presidio Expressway,2026-09-08,15.3,29.0,67,3.9,1.2,31.7
TRIP-SUMM-2003,Oakland Hills → Berkeley,2026-09-08,15.7,36.0,51,0.9,8.5,29.9
TRIP-SUMM-2004,Fremont Blvd → Palo Alto University Ave,2026-09-07,23.0,55.0,73,3.7,10.6,32.4
TRIP-SUMM-2005,San Jose Airport → Sunnyvale Tech Center,2026-09-08,29.3,64.0,60,1.2,8.8,30.9
TRIP-SUMM-2006,Fremont Blvd → Palo Alto University Ave,2026-09-02,27.5,56.0,59,3.5,19.9,30.8
TRIP-SUMM-2007,Fremont Blvd → Palo Alto University Ave,2026-09-03,18.6,45.0,81,1.9,1.6,33.3
TRIP-SUMM-2008,Fremont Blvd → Palo Alto University Ave,2026-09-03,35.8,90.0,89,4.2,5.2,34.2
TRIP-SUMM-2009,Oakland Hills → Berkeley,2026-09-06,8.7,18.0,48,4.4,7.5,29.5
TRIP-SUMM-2010,Oakland Hills → Berkeley,2026-09-05,19.9,38.0,45,3.0,5.2,29.2
TRIP-SUMM-2011,Oakland Hills → Berkeley,2026-09-09,14.7,29.0,58,2.0,16.2,30.7
TRIP-SUMM-2012,Fremont Blvd → Palo Alto University Ave,2026-09-07,33.2,70.0,75,0.8,3.1,32.6
TRIP-SUMM-2013,Oakland Hills → Berkeley,2026-09-02,28.2,71.0,87,1.8,10.7,34.0
TRIP-SUMM-2014,San Jose Airport → Sunnyvale Tech Center,2026-09-07,17.5,36.0,53,1.9,7.9,30.1
TRIP-SUMM-2015,Fremont Blvd → Palo Alto University Ave,2026-09-01,24.7,55.0,67,2.2,16.5,31.7
TRIP-SUMM-2016,Fremont Blvd → Palo Alto University Ave,2026-09-01,11.8,27.0,94,1.1,8.6,34.8
TRIP-SUMM-2017,Oakland Hills → Berkeley,2026-09-01,25.1,60.0,49,2.9,3.9,29.6
TRIP-SUMM-2018,Oakland Hills → Berkeley,2026-09-05,11.4,24.0,66,1.8,4.8,31.6
TRIP-SUMM-2019,Marin County → Presidio Expressway,2026-09-03,14.9,35.0,75,0.3,21.1,32.6
TRIP-SUMM-2020,San Jose Airport → Sunnyvale Tech Center,2026-09-02,9.8,23.0,98,0.6,17.9,35.3
TRIP-SUMM-2021,Fremont Blvd → Palo Alto University Ave,2026-09-09,26.7,57.0,96,0.2,7.7,35.0
TRIP-SUMM-2022,Marin County → Presidio Expressway,2026-09-01,17.4,38.0,76,3.0,15.1,32.7
TRIP-SUMM-2023,Marin County → Presidio Expressway,2026-09-09,14.6,29.0,85,0.6,17.9,33.8
TRIP-SUMM-2024,SF Downtown → San Mateo,2026-09-03,17.0,37.0,66,3.8,21.4,31.6
TRIP-SUMM-2025,SF Downtown → San Mateo,2026-09-06,37.8,84.0,69,3.9,2.7,31.9
TRIP-SUMM-2026,Marin County → Presidio Expressway,2026-09-07,36.7,87.0,61,1.0,18.1,31.0
TRIP-SUMM-2027,SF Downtown → San Mateo,2026-09-06,5.9,12.0,52,3.9,10.7,30.0
